,file_name,author,attribution_required,license,license_URL
72,File:Sea_Lion_Walking_on_the_Beach.webm,Jarble,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
73,File:Lioness_licking_the_snow.webm,Jarble,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
74,File:Eastern_Green_Lizard_(Lacerta_viridis).webm,Vis M,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
75,File:Lace_monitor_(Varanus_varius).webm,The Nature Box,true,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
76,File:Nile_crocodile_ambushes_a_wildebeest.webm,The Nature Box,true,CC BY 3.0,https://creativecommons.org/licenses/by/3.0
77,File:Cape_Buffaloes_(Syncerus_caffer)_herd_....webm,Jarble,true,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
78,File:African_Buffaloes_(Syncerus_caffer)_big_herd_at_waterhole_....webm,Jarble,true,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
79,"File:Grus_grus_flock,_Altenpleen_(P1090033).webm",MB-one,true,CC BY-SA,"//commons.wikimedia.org/wiki/File:Grus_grus_flock,_Altenpleen_(P1090033).webm"
80,"File:2022-05-13,_Herd_of_Elk,_Snoqualmie,_Washington,_video01.webm",Senapa,true,CC BY 3.0,https://creativecommons.org/licenses/by/3.0
81,"File:2022-05-13,_Herd_of_Elk,_Snoqualmie,_Washington,_video02.webm",Senapa,true,CC BY 3.0,https://creativecommons.org/licenses/by/3.0
82,File:San_Diego_Zoo_14_2016-05-17.webm,Fastily,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
83,File:DreibornerHochfl%C3%A4cheSchafherde.webm,ACBahn,true,CC BY 3.0,https://creativecommons.org/licenses/by/3.0
84,File:Phoenicopterus_roseus_in_World_of_Birds_Wildlife_Sanctuary_and_Monkey_Park_03.webm,Спасимир,true,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
